ID,Name,Contact Information,List of Events
E001,"Copeland, Reynolds and Anderson Events",jackstephens@hotmail.com,"['EV20', 'EV7', 'EV87', 'EV44']"
E002,"Diaz, Williams and Schmidt Organizers",emily06@scott.biz,"['EV74', 'EV24']"
E003,Baxter-Sawyer Planners,kgray@gmail.com,"['EV14', 'EV57', 'EV96']"
E004,Hall Inc Events,patrickcarter@gmail.com,"['EV22', 'EV16', 'EV85', 'EV84', 'EV65']"
E005,"Bird, Townsend and Rivers Organizers",coxjulie@shannon.biz,"['EV80', 'EV89']"
E007,Knapp-Garcia Events,susan32@hotmail.com,"['EV86', 'EV56']"
E008,Galloway-Lang Organizers,anne09@yahoo.com,"['EV65', 'EV37', 'EV22', 'EV27']"
E009,"Hart, Hernandez and Hernandez Events",owenssteven@hotmail.com,"['EV90', 'EV9', 'EV94', 'EV30']"
E010,Hopkins Ltd Planners,klittle@yahoo.com,"['EV71', 'EV32', 'EV58']"
E011,"Thompson, Swanson and Roberts Planners",harpermarvin@gmail.com,"['EV80', 'EV5']"
E012,Davila PLC Planners,cindy30@yahoo.com,['EV95']
E013,Kemp-Huffman Events,watkinsbreanna@kim-conway.com,"['EV24', 'EV37']"
E014,Jones and Sons Planners,cartersally@stanley-martin.com,"['EV46', 'EV73', 'EV8']"
E015,Burke Ltd Events,uramirez@yahoo.com,"['EV18', 'EV96']"
E016,Murray Ltd Events,cochranjeremy@kirk.net,"['EV100', 'EV40', 'EV70', 'EV13', 'EV48']"
E017,Luna-Lamb Planners,james99@gmail.com,"['EV45', 'EV27', 'EV23', 'EV76', 'EV46']"
E019,"Johnson, Matthews and Hanna Planners",lmorgan@gmail.com,"['EV55', 'EV70', 'EV75']"
E021,Johnson-Sheppard Planners,bryanteresa@gmail.com,['EV69']
E022,White PLC Events,kevingreene@yahoo.com,"['EV22', 'EV23', 'EV65', 'EV57', 'EV40']"
E023,"Ramirez, Bennett and Campbell Events",grace13@gmail.com,"['EV21', 'EV85', 'EV29', 'EV93']"
E024,Wu Inc Organizers,okeller@yahoo.com,['EV59']
E025,"Nguyen, Bass and Wood Organizers",jason63@hotmail.com,"['EV97', 'EV24', 'EV70', 'EV53', 'EV32']"
E026,Lane-Baird Planners,wflores@yahoo.com,['EV25']
E027,Horton-Klein Organizers,plove@rodriguez.com,"['EV98', 'EV98', 'EV36']"
